Team,Structure (10),Grammar (2),Roles (5),Open and closed questions (5),Questions structured (5),Questions relevant (5),General to specific questions (5),Transcript (5),Screenshots present (4),Table easy to read (5),Products and features are relevant to what customer wants (8),Summarizing critical points of interview (10),Clear learning points (10),Questions the team still has (10),Outline of the next steps (10),Recording is present (2),Total (101),Feedback
Team 1,10.00,2.00,5.00,5.00,5.00,5.00,5.00,5.00,4.00,4.00,8.00,10.00,10.00,10.00,10.00,0.00,99.00%,"No Report outline (Overview)
Brief project name/idea will be great
Interview was carried out properly with a mixed of both close and open questions
Generally, your document text is not pleasant to read. Text is too close to each other."
Team 2,8.00,2.00,5.00,3.00,3.00,3.00,4.00,5.00,4.00,4.00,8.00,6.00,8.00,10.00,6.00,2.00,82.00%,"No Report outline (Overview - Table of Content) Difficult to identify separate sections of your report
You could also add responsibilities of each team member
Questions weren’t organise/structured properly. They began too specific after the first open question. Most of your questions could be answered with yes/no.
Competitor analysis table could be more detailed - not only pros/cons - we also needed feature assessment for each competitor.
Very vague next steps"
Team 3,8.00,2.00,5.00,4.00,3.00,4.00,3.00,5.00,4.00,4.00,8.00,10.00,10.00,10.00,6.00,2.00,89.00%,"No Report outline(Title) (Overview - Table of Content) Difficult to identify separate sections of your report. Generally, your document text is not pleasant to read. Text is too close to each other.
Only one question addresses customers problem. Some questions aren’t explicit enough “Stack?”
Very vague next steps"
Team 4,9.00,2.00,5.00,4.00,3.00,4.00,4.00,5.00,4.00,4.00,8.00,8.00,8.00,5.00,6.00,2.00,82.00%,"No Report outline (Overview)
Brief project name/idea will be great
Questions begin very specific without getting to understand customer pain point
Needed more information in the competitive analysis table. +/- is not enough to understand various features and how differently they are implemented. Your team didn’t state any unclear requirements you will like to clarify in the future
Very vague next steps"
Team 5,9.00,2.00,5.00,5.00,5.00,5.00,5.00,5.00,4.00,5.00,8.00,10.00,10.00,4.00,10.00,2.00,95.00%,"No Report outline (Overview)
Brief project idea will be great
You could also add responsibilities of each team member
Questions begin very specific without getting to understand customer pain point.
25 questions is good but too much.
Your team didn’t state any unclear requirements you will like to clarify in the future "
Team 6,9.00,2.00,5.00,5.00,4.00,5.00,5.00,5.00,4.00,5.00,6.00,10.00,10.00,4.00,6.00,0.00,86.00%,"No Report outline (Overview)
You could also add responsibilities of each team member
Questions begin very specific without getting to understand customer pain point.
Customer is most probably interested in having a telegram bot, research focused more on existing services (web-based)
Your team didn’t state any unclear requirements you will like to clarify in the future
Very vague next steps"
Team 7,10.00,2.00,5.00,5.00,4.00,4.00,5.00,5.00,4.00,5.00,8.00,10.00,10.00,8.00,8.00,2.00,96.00%,"No Report outline (Overview)
You could also add responsibilities of each team member
21 questions is good but too much. It would have been great to better prioritize questions and take the first 10-15.
Nice to know, you have some questions you plan to do follow up with.
The next steps are kind of general (like we will do what we plan to do). You could try to be more specific"
Team 8,9.00,2.00,5.00,5.00,5.00,4.00,5.00,4.00,4.00,5.00,8.00,10.00,10.00,10.00,10.00,0.00,97.00%,"No Report outline (Overview)
Brief project name/idea will be great
Questions begin very specific without getting to understand customer pain point.
Overall, good work. Keep it up"
Team 9,10.00,2.00,5.00,5.00,5.00,5.00,5.00,5.00,4.00,5.00,8.00,10.00,10.00,10.00,8.00,2.00,100.00%,"Brief project name/idea will be great
Great questions and documentation, especially the competitive analysis table."
Team 10,9.00,2.00,5.00,5.00,5.00,4.00,4.00,5.00,0.00,4.00,8.00,10.00,10.00,10.00,10.00,0.00,92.00%,"Brief project name/idea will be great
We practiced customer interviews in class. I was not expecting you to pick this question as your first question. It does not touch the customer’s direct pain. Competitive analysis table could be more insightful. No screenshots"
